Map,Agents,Seed,Success,Cost,Time_s
random-64-64-10.map,40,4,True,1852,0.3818180561065674
random-64-64-10.map,40,5,True,1847,0.3969237804412842
random-64-64-10.map,40,6,True,1847,0.3899519443511963
random-64-64-10.map,40,7,True,1847,0.3815460205078125
random-64-64-10.map,40,8,True,1847,0.3703789710998535
random-64-64-10.map,40,9,True,1849,0.3640310764312744
random-64-64-10.map,40,10,True,1900,0.38506007194519043
random-64-64-10.map,50,1,True,2359,0.3980679512023926
random-64-64-10.map,50,2,True,2356,0.3712120056152344
random-64-64-10.map,50,3,True,2372,0.3752269744873047
random-64-64-10.map,50,4,True,2355,0.38496994972229004
random-64-64-10.map,50,5,True,2355,0.36975693702697754
random-64-64-10.map,50,6,True,2386,0.41558289527893066
random-64-64-10.map,50,7,True,2361,0.38039708137512207
random-64-64-10.map,50,8,True,2357,0.38814496994018555
random-64-64-10.map,50,9,True,2373,0.4042198657989502
random-64-64-10.map,50,10,True,2362,0.3789350986480713
random-64-64-10.map,60,1,True,2793,0.389484167098999
random-64-64-10.map,60,2,True,2811,0.3717350959777832
random-64-64-10.map,60,3,True,2795,0.3727560043334961
random-64-64-10.map,60,4,True,2837,0.38384103775024414
random-64-64-10.map,60,5,True,2796,0.3755030632019043
random-64-64-10.map,60,6,True,2811,0.4038567543029785
random-64-64-10.map,60,7,True,2789,0.37172818183898926
random-64-64-10.map,60,8,True,2833,0.4000980854034424
random-64-64-10.map,60,9,True,2789,0.4076380729675293
random-64-64-10.map,60,10,True,2809,0.3898911476135254
