Map,Agents,TimeLimit,Seed,Success,Cost,RealTime_s
room-32-32-4.map,80,150,2,False,-1,150.0344259738922
room-32-32-4.map,80,150,3,False,-1,150.03372311592102
room-32-32-4.map,80,150,4,True,2821,2.092172861099243
room-32-32-4.map,80,150,5,False,-1,150.03202080726624
room-32-32-4.map,80,150,6,False,-1,150.03437089920044
room-32-32-4.map,80,150,7,False,-1,150.0311679840088
room-32-32-4.map,80,150,8,False,-1,150.0311279296875
room-32-32-4.map,80,150,9,False,-1,150.03123688697815
room-32-32-4.map,80,150,10,False,-1,150.03186416625977
room-32-32-4.map,100,30,1,False,-1,30.030524969100952
room-32-32-4.map,100,30,2,False,-1,30.032278060913086
room-32-32-4.map,100,30,3,False,-1,30.03263282775879
room-32-32-4.map,100,30,4,False,-1,30.03066086769104
room-32-32-4.map,100,30,5,False,-1,30.030925989151
room-32-32-4.map,100,30,6,False,-1,30.030876874923706
room-32-32-4.map,100,30,7,False,-1,30.030160903930664
room-32-32-4.map,100,30,8,False,-1,30.03124189376831
room-32-32-4.map,100,30,9,False,-1,30.02995276451111
room-32-32-4.map,100,30,10,False,-1,30.030498027801514
room-32-32-4.map,100,60,1,False,-1,60.031288862228394
room-32-32-4.map,100,60,2,False,-1,60.032485246658325
room-32-32-4.map,100,60,3,False,-1,60.033464670181274
room-32-32-4.map,100,60,4,False,-1,60.032373666763306
room-32-32-4.map,100,60,5,False,-1,60.0336172580719
room-32-32-4.map,100,60,6,False,-1,60.03183579444885
room-32-32-4.map,100,60,7,False,-1,60.03147506713867
room-32-32-4.map,100,60,8,False,-1,60.03370189666748
room-32-32-4.map,100,60,9,False,-1,60.032931089401245
room-32-32-4.map,100,60,10,False,-1,60.03176712989807
room-32-32-4.map,100,90,1,False,-1,90.03608298301697
room-32-32-4.map,100,90,2,False,-1,90.03170204162598
room-32-32-4.map,100,90,3,False,-1,90.03262209892273
room-32-32-4.map,100,90,4,False,-1,90.03551888465881
room-32-32-4.map,100,90,5,False,-1,90.0312888622284
